name,chamber,party,screen_name,account_type
Don Young,house,R,repdonyoung,office
Don Young,house,R,DonYoungAK,campaign
Bradley Byrne,house,R,BradleyByrne,campaign
Bradley Byrne,house,R,RepByrne,office
Felix Moore,house,R,BarryMoore,campaign
Felix Moore,house,R,RepBarryMoore,office
Gary Palmer,house,R,Palmer4Alabama,campaign
Gary Palmer,house,R,USRepGaryPalmer,office
Jerry Carl,house,R,CarlForAlabama,campaign
Jerry Carl,house,R,RepJerryCarl,office
Martha Roby,house,R,TeamRoby,campaign
Martha Roby,house,R,MarthaRobyAL,office
Mike Rogers,house,R,RepMikeRogersAL,office
Mike Rogers,house,R,MikeRogersCamp,campaign
Mo Brooks,house,R,Mobrooks,campaign
Mo Brooks,house,R,RepMoBrooks,office
Robert Aderholt,house,R,Robert_Aderholt,office
Robert Aderholt,house,R,CongAderholt,campaign
Terri Sewell,house,D,Sewell4Congress,campaign
Terri Sewell,house,D,RepTerriSewell,office
Bruce Westerman,house,R,bruce_westerman,campaign
Bruce Westerman,house,R,WestermanAR,campaign
Bruce Westerman,house,R,RepWesterman,office
French Hill,house,R,ElectFrench,campaign
French Hill,house,R,RepFrenchHill,office
Rick Crawford,house,R,Crawford4Cong,campaign
Rick Crawford,house,R,RepRickCrawford,office
Steve Womack,house,R,womack4congress,campaign
Steve Womack,house,R,rep_stevewomack,office
Amata Coleman Radewagen,house,R,RepAmata,office
Andy Biggs,house,R,RepAndyBiggsAZ,office
Andy Biggs,house,R,andybiggs4az,campaign
Ann Kirkpatrick,house,D,Ann_Kirkpatrick,campaign
Ann Kirkpatrick,house,D,RepKirkpatrick,office
David Schweikert,house,R,DavidSchweikert,campaign
David Schweikert,house,R,RepDavid,office
Debbie Lesko,house,R,DebbieLesko,campaign
Debbie Lesko,house,R,RepDLesko,office
Greg Stanton,house,D,gregstantonaz,campaign
Greg Stanton,house,D,RepGregStanton,office
Paul Gosar,house,R,RepGosar,office
Paul Gosar,house,R,DrPaulGosar,campaign
Raul Grijalva,house,D,RepRaulGrijalva,office
Raul Grijalva,house,D,standwithraul,campaign
Ruben Gallego,house,D,RubenGallego,campaign
Ruben Gallego,house,D,RepRubenGallego,office
Tom O'Halleran,house,D,TomOHalleran,campaign
Tom O'Halleran,house,D,RepOHalleran,office
Trent Franks,house,R,RepTrentFranks,office
Adam Schiff,house,D,RepAdamSchiff,office
Adam Schiff,house,D,AdamSchiff,campaign
Alan Lowenthal,house,D,alanlowenthal,campaign
Alan Lowenthal,house,D,RepLowenthal,office
Ami Bera,house,D,BeraForCongress,campaign
Ami Bera,house,D,RepBera,office
